title,year,genre,director,rating,votes,runtime,revenue
Edge of Doom,1950,Noir,Paul Thomas Anderson,4.6,89903,89,320.9
Emergency Wedding,1950,"Comedy, War",Steven Spielberg,7.8,40848,101,142.1
Everybody's Dancin',1950,Musical,Christopher Nolan,6.7,101521,139,
Experiment Alcatraz,1950,"Drama, Crime",Ridley Scott,6.1,1926,96,8794.8
Fancy Pants,1950,"Comedy, Western, Romance",Unknown Director,7.2,55787,134,
Fast on the Draw,1950,Western,Martin Scorsese,5.3,15786,113,
Father Is a Bachelor,1950,"Romance, Comedy, Musical",Wes Anderson,5.6,14645,136,
Father of the Bride,1950,Comedy,David Fincher,5.2,15105,103,421.4
Father Makes Good,1950,Comedy,Unknown Director,7.9,59222,118,
Father's Wild Game,1950,Comedy,Alfred Hitchcock,6.6,40451,96,163.4
Federal Agent at Large,1950,Crime,Ridley Scott,8.1,17041,105,13.5
Federal Man,1950,"Thriller, Crime",Martin Scorsese,6.9,6392,147,
Fence Riders,1950,Western,Stanley Kubrick,8.1,21503,148,103.0
The Fighting Stallion,1950,Western,Quentin Tarantino,5.9,9597,112,
The File on Thelma Jordon,1950,"Noir, Drama",Stanley Kubrick,6.2,25565,144,
The Fireball,1950,Drama,Unknown Director,6.3,42847,126,
The Flame and the Arrow,1950,Adventure,Wes Anderson,5.2,16165,117,40.9
The Flying Missile,1950,War,Coen Brothers,6.0,12277,85,703.6
The Flying Saucer,1950,"Science Fiction, Independent, Spy",Quentin Tarantino,6.9,57838,91,8.7
For Heaven's Sake,1950,"Fantasy, Comedy",Paul Thomas Anderson,4.5,71757,88,167.0
Forbidden Jungle,1950,Adventure,David Fincher,5.6,3606,95,
Fortunes of Captain Blood,1950,Adventure,Unknown Director,7.2,21088,94,
Francis,1950,Comedy,Alfred Hitchcock,6.9,52938,111,
Frenchie,1950,Western,Martin Scorsese,6.5,5181,88,38.5
Frisco Tornado,1950,Western,Ridley Scott,7.4,47504,129,153.8
Frontier Outpost,1950,Western,Stanley Kubrick,7.1,33769,104,6872.2
The Fuller Brush Girl,1950,Comedy,Steven Spielberg,5.5,33464,113,29.1
The Furies,1950,"Western, Noir",Alfred Hitchcock,5.7,12619,93,44.5
The Girl from San Lorenzo,1950,Western,Alfred Hitchcock,6.6,43419,135,372.8
Girls' School,1950,Drama,James Cameron,8.9,103136,112,
The Glass Menagerie,1950,Drama,Francis Ford Coppola,6.4,114824,72,
The Goldbergs,1950,Comedy,Quentin Tarantino,5.5,41035,132,
The Golden Gloves Story,1950,"Drama, Noir, Sports",Paul Thomas Anderson,7.9,22455,93,73.3
The Good Humor Man,1950,"Comedy, Crime",Peter Jackson,7.4,30567,100,3592.3
The Great Jewel Robber,1950,"Crime, Drama",Stanley Kubrick,3.9,53242,101,
The Great Plane Robbery,1950,"Drama, Crime",David Fincher,9.4,25290,92,
The Great Rupert,1950,"Comedy, Family",Francis Ford Coppola,6.0,64755,111,
Guilty Bystander,1950,"Noir, Crime, Drama",Denis Villeneuve,6.0,157821,60,57.5
Guilty of Treason,1950,Drama,Stanley Kubrick,7.3,77624,123,27.1
Gun Crazy,1950,"Noir, Crime",Francis Ford Coppola,9.0,57058,116,
The Gunfighter,1950,Western,Coen Brothers,5.6,52018,93,17.7
Gunfire,1950,Western,Coen Brothers,5.6,128516,122,852.4
Gunman in the Streets,1950,Noir,Denis Villeneuve,4.4,11106,78,50.6
Gunmen of Abilene,1950,Western,Denis Villeneuve,4.3,15143,152,15.7
Gunslingers,1950,Western,David Fincher,4.5,1796,69,6.8
The Happy Years,1950,Comedy,Peter Jackson,8.4,14999,124,
Harbor of Missing Men,1950,Action,Christopher Nolan,6.7,80101,144,155.1
Harriet Craig,1950,Drama,Denis Villeneuve,8.4,9132,135,
Harvey,1950,"Fantasy, Comedy, Drama",James Cameron,6.6,9720,127,72.7
He's a Cockeyed Wonder,1950,Comedy,Martin Scorsese,7.7,26622,118,16.6
Hi-Jacked,1950,"Noir, Crime",Alfred Hitchcock,6.1,50469,66,77.2
The Hidden City,1950,"Adventure, Documentary",Steven Spielberg,6.0,110982,88,
High Lonesome,1950,Western,David Fincher,6.2,6433,120,122.5
Highway 301,1950,Noir,Martin Scorsese,5.2,63020,109,
Hills of Oklahoma,1950,Western,Peter Jackson,5.3,52020,82,403.3
Hit Parade of 1951,1950,Musical,David Fincher,7.1,71431,92,193.9
Hoedown,1950,"Musical, Western",Steven Spielberg,8.1,4329,147,684.4
Holiday Rhythm,1950,Musical,Martin Scorsese,5.2,15997,96,6.8
Hollywood Varieties,1950,Musical,Martin Scorsese,7.4,21324,115,11.9
Hostile Country,1950,Western,Denis Villeneuve,6.6,94773,119,43.8
Hot Rod,1950,Drama,Christopher Nolan,5.1,57221,121,
House by the River,1950,"Noir, Crime, Drama",Stanley Kubrick,5.5,1243,84,
I Killed Geronimo,1950,Western,Quentin Tarantino,6.1,287,126,62.7
I Shot Billy the Kid,1950,Western,Peter Jackson,6.3,66434,106,75.7
I Was a Shoplifter,1950,"Noir, Crime",Steven Spielberg,6.1,133127,126,
I'll Get By,1950,"Musical, Comedy",Steven Spielberg,7.6,2984,137,236.6
In a Lonely Place,1950,Noir,Martin Scorsese,5.6,60577,115,3.5
Indian Territory,1950,Western,Francis Ford Coppola,5.3,15034,96,95.0
The Iroquois Trail,1950,Western,Stanley Kubrick,6.2,7039,123,12.3
It's a Small World,1950,Drama,Francis Ford Coppola,5.9,34516,114,129.0
The Jackie Robinson Story,1950,"Biography, Sports",Christopher Nolan,6.2,5835,89,
The Jackpot,1950,Comedy,Denis Villeneuve,7.9,37456,152,353.0
Jiggs and Maggie Out West,1950,Comedy,Alfred Hitchcock,5.3,20539,97,
Joe Palooka in Humphrey Takes a Chance,1950,Comedy,Martin Scorsese,6.9,4217,144,2.8
Joe Palooka in the Squared Circle,1950,Comedy,Quentin Tarantino,4.7,37487,150,21.0
Joe Palooka Meets Humphrey,1950,Comedy,Ridley Scott,4.9,40168,89,
Johnny One-Eye,1950,"Noir, Crime",Paul Thomas Anderson,5.6,35732,93,
Julius Caesar,1950,Drama,David Fincher,7.8,258446,90,
The Kangaroo Kid,1950,Western,Paul Thomas Anderson,6.0,3264,101,
Kansas Raiders,1950,Western,Steven Spielberg,7.0,23357,84,85.0
Key to the City,1950,"Romance, Comedy",Steven Spielberg,6.7,102919,103,
The Kid from Texas,1950,Western,James Cameron,5.2,32325,109,711.0
Kill or Be Killed,1950,Crime,James Cameron,5.9,7421,130,120.8
Kill the Umpire,1950,Comedy,Ridley Scott,5.5,31412,60,440.8
Killer Shark,1950,Adventure,David Fincher,6.8,2813,80,12.6
The Killer That Stalked New York,1950,Noir,David Fincher,5.1,81041,73,17.1
Kim,1950,Adventure,Steven Spielberg,6.2,58845,101,18.7
King of the Bullwhip,1950,Western,Steven Spielberg,7.2,97801,82,
King Solomon's Mines,1950,Adventure,Ridley Scott,5.5,19053,118,
Kiss Tomorrow Goodbye,1950,"Drama, Noir",Quentin Tarantino,5.4,8855,138,6.3
A Lady Without Passport,1950,Noir,James Cameron,5.0,51610,108,
Last of the Buccaneers,1950,Adventure,Quentin Tarantino,7.7,53866,90,276.6
Law of the Badlands,1950,Western,Francis Ford Coppola,5.4,46860,117,
Law of the Panhandle,1950,Western,Francis Ford Coppola,5.0,58905,88,5.3
The Lawless,1950,"Drama, Noir",Paul Thomas Anderson,4.3,15169,117,24.0
Let's Dance,1950,"Musical, Comedy, Drama",Quentin Tarantino,3.4,44400,101,
A Life of Her Own,1950,Drama,Martin Scorsese,7.8,27837,117,
Lightning Guns,1950,Western,Ridley Scott,5.9,3975,108,4.1
Lonely Heart Bandits,1950,Drama,Christopher Nolan,6.7,22169,131,60.6
The Lost Volcano,1950,Adventure,David Fincher,6.1,11932,115,
Louisa,1950,Comedy,Quentin Tarantino,7.4,89212,85,785.0
Love Happy,1950,"Comedy, Musical",Christopher Nolan,7.5,36530,80,
Love That Brute,1950,"Comedy, Crime",Coen Brothers,7.3,9094,111,46.3
Lucky Losers,1950,Comedy,Paul Thomas Anderson,7.7,93548,116,602.8
Ma and Pa Kettle Go to Town,1950,Comedy,Quentin Tarantino,4.8,31597,103,83.1
The Magnificent Yankee,1950,Biography,Christopher Nolan,5.8,19953,88,65.0
The Man Who Cheated Himself,1950,"Noir, Crime",Steven Spielberg,7.4,932,108,514.0
Mark of the Gorilla,1950,Adventure,James Cameron,6.8,21145,77,29.4
Marshal of Heldorado,1950,Western,Unknown Director,7.4,225065,83,
The Men,1950,"War, Drama",Paul Thomas Anderson,6.7,77150,103,2.3
Military Academy with That Tenth Avenue Gang,1950,"Comedy, Drama",Wes Anderson,7.3,20842,98,
The Milkman,1950,Comedy,Peter Jackson,5.6,60288,105,134.6
The Miniver Story,1950,Drama,Paul Thomas Anderson,6.9,27114,89,
The Missourians,1950,Western,Unknown Director,4.0,21094,145,157.2
Mister 880,1950,"Comedy, Drama, Romance",Ridley Scott,7.6,32924,120,63.8
A Modern Marriage,1950,Drama,Coen Brothers,6.0,42593,95,64.0
Montana,1950,Western,Coen Brothers,6.1,44770,66,4.1
Mother Didn't Tell Me,1950,Comedy,Christopher Nolan,5.1,44628,137,250.4
Motor Patrol,1950,Crime,Denis Villeneuve,6.9,80008,111,18.9
Mr. Music,1950,Drama,Quentin Tarantino,5.6,3446,125,36.7
Mrs. O'Malley and Mr. Malone,1950,"Comedy, Mystery",Unknown Director,6.5,66528,119,983.1
The Mudlark,1950,Comedy,Unknown Director,6.9,62848,136,5.1
Mule Train,1950,Western,David Fincher,8.7,229439,109,
My Blue Heaven,1950,"Comedy, Drama, Musical",Alfred Hitchcock,6.1,16094,85,
My Friend Irma Goes West,1950,Comedy,Denis Villeneuve,5.8,45297,65,23.7
Mystery Street,1950,Noir,Denis Villeneuve,7.9,1618,137,43.3
Mystery Submarine,1950,"Drama, War",Steven Spielberg,5.3,21472,112,44.1
Nancy Goes to Rio,1950,"Musical, Comedy",Ridley Scott,5.1,5388,115,
The Nevadan,1950,Western,Martin Scorsese,7.5,116916,127,56.9
Never a Dull Moment,1950,"Comedy, Western",Alfred Hitchcock,7.3,165464,104,
The Next Voice You Hear...,1950,Drama,Quentin Tarantino,6.5,40018,138,
Night and the City,1950,Noir,Quentin Tarantino,6.1,48067,104,2219.6
No Man of Her Own,1950,"Noir, Drama",Christopher Nolan,5.1,1650,148,32.8
North of the Great Divide,1950,Western,Alfred Hitchcock,5.0,1182,97,
No Sad Songs for Me,1950,Drama,Wes Anderson,6.2,78543,124,63.5
No Way Out,1950,Noir,David Fincher,7.0,20182,136,
The Old Frontier,1950,Western,Denis Villeneuve,8.6,9271,68,31.3
On the Isle of Samoa,1950,Adventure,James Cameron,7.4,8643,125,47.2
Once a Thief,1950,"Noir, Crime",David Fincher,6.5,8699,150,
One Too Many,1950,Drama,Paul Thomas Anderson,6.4,8545,97,898.9
One Way Street,1950,"Noir, Crime",James Cameron,7.3,24440,107,499.2
Operation Haylift,1950,Drama,Martin Scorsese,6.0,378,95,242.5
Our Very Own,1950,Drama,Alfred Hitchcock,5.2,8659,125,75.4
Outcast of Black Mesa,1950,Western,Martin Scorsese,5.8,50891,169,15.3
Outlaw Gold,1950,Western,Quentin Tarantino,8.0,28005,107,116.1
Outlaws of Texas,1950,Western,Unknown Director,7.1,22120,113,45.6
Outrage,1950,Noir,Unknown Director,4.8,33257,84,
The Outriders,1950,Western,Martin Scorsese,5.8,20497,144,
Outside the Wall,1950,"Noir, Crime",Christopher Nolan,4.6,45722,92,11.0
Over the Border,1950,Western,James Cameron,8.1,16086,105,11.4
Paid in Full,1950,Drama,Francis Ford Coppola,4.8,5904,83,10.9
Pagan Love Song,1950,"Musical, Romance",Unknown Director,7.6,30883,134,
The Palomino,1950,Western,Peter Jackson,6.5,7429,102,72.1
Panic in the Streets,1950,Noir,Stanley Kubrick,4.8,74670,101,
Peggy,1950,Comedy,Francis Ford Coppola,6.8,42716,124,
Perfect Strangers,1950,"Drama, Comedy",Unknown Director,8.5,79798,106,335.1
The Petty Girl,1950,"Romance, Comedy, Musical",Wes Anderson,7.8,28652,130,
Please Believe Me,1950,"Romance, Comedy",Alfred Hitchcock,8.6,22699,99,
Prehistoric Women,1950,"Science Fiction, Adventure, Fantasy",Unknown Director,8.9,73050,131,392.3
Pretty Baby,1950,Comedy,Francis Ford Coppola,5.6,4982,103,196.9
Prisoners in Petticoats,1950,Crime,Unknown Director,6.2,25431,104,533.9
Pygmy Island,1950,Adventure,Unknown Director,4.2,68072,135,
Quicksand,1950,Noir,James Cameron,6.5,16802,93,
Radar Secret Service,1950,"Action, War",James Cameron,7.8,45962,123,
Raiders of Tomahawk Creek,1950,Western,James Cameron,7.6,11302,146,
Redwood Forest Trail,1950,Western,Alfred Hitchcock,5.4,114580,124,
The Reformer and the Redhead,1950,"Comedy, Romance",David Fincher,8.1,7072,111,86.9
Return of the Frontiersman,1950,Western,Martin Scorsese,7.3,12028,91,548.4
The Return of Jesse James,1950,Western,Alfred Hitchcock,6.5,20557,106,200.9
Revenue Agent,1950,Crime,David Fincher,8.1,109312,76,191.4
Rider from Tucson,1950,Western,Stanley Kubrick,7.2,15789,123,82.7
Riding High,1950,"Comedy, Musical",Stanley Kubrick,5.7,37299,133,
Right Cross,1950,"Drama, Sports",Alfred Hitchcock,6.3,6097,103,338.4
Rio Grande,1950,"Western, Romance",Quentin Tarantino,7.6,14589,103,35.3
Rio Grande Patrol,1950,Western,Peter Jackson,8.2,102150,92,
Rocketship X-M,1950,Science Fiction,Paul Thomas Anderson,5.8,69073,85,1.1
Rock Island Trail,1950,Western,Peter Jackson,8.2,147088,134,29.7
Rocky Mountain,1950,Western,Unknown Director,5.9,10434,108,93.9
Rogues of Sherwood Forest,1950,Adventure,James Cameron,5.1,23941,116,134.3
Rookie Fireman,1950,Drama,Peter Jackson,7.4,171,112,17.2
Rustlers on Horseback,1950,Western,Steven Spielberg,10.0,209766,135,
Saddle Tramp,1950,Western,Quentin Tarantino,5.5,8395,112,
Salt Lake Raiders,1950,Western,Wes Anderson,8.2,34399,106,636.9
Sarumba,1950,"Musical, Drama",Quentin Tarantino,9.2,146908,134,
The Savage Horde,1950,Western,Quentin Tarantino,6.1,36158,120,
Second Chance,1950,Drama,Alfred Hitchcock,6.5,1149,111,239.6
The Second Face,1950,"Drama, Romance",Quentin Tarantino,5.9,28017,119,33.6
The Second Woman,1950,"Noir, Mystery, Suspense",Martin Scorsese,6.7,11893,107,61.0
The Secret Fury,1950,"Noir, Thriller",Paul Thomas Anderson,7.1,2471,99,9.9
September Affair,1950,"Romance, Drama",David Fincher,6.0,60690,145,3950.0
Shadow on the Wall,1950,"Mystery, Thriller",Francis Ford Coppola,6.7,218893,150,25.2
Shakedown,1950,"Noir, Crime",Coen Brothers,4.9,7257,92,11.5
Short Grass,1950,Western,Coen Brothers,5.8,33163,94,42.7
The Showdown,1950,Western,Quentin Tarantino,5.6,10999,106,
Side Street,1950,Noir,Quentin Tarantino,7.8,206121,96,42.1
Sideshow,1950,Crime,Peter Jackson,7.7,27468,120,47.9
Sierra Passage,1950,Western,Peter Jackson,7.0,87928,111,403.2
Sierra,1950,Western,Martin Scorsese,6.7,142615,109,
The Silver Bandit,1950,"Western, Musical",Peter Jackson,6.6,60389,65,34.0
Silver Raiders,1950,Western,Alfred Hitchcock,6.2,49894,131,91.7
Singing Guns,1950,Western,David Fincher,9.3,45349,142,
Six Gun Mesa,1950,Western,Francis Ford Coppola,5.6,35613,125,
The Skipper Surprised His Wife,1950,Comedy,Coen Brothers,8.0,53978,112,40.1
The Sleeping City,1950,"Noir, Crime, Documentary",David Fincher,5.7,35074,103,161.5
Snow Dog,1950,Adventure,Unknown Director,7.5,10698,141,1229.9
"So Young, So Bad",1950,Drama,James Cameron,6.8,89117,103,
The Sound of Fury,1950,"Noir, Crime",Quentin Tarantino,4.5,9111,130,63.8
South Sea Sinner,1950,"Drama, Adventure",Unknown Director,5.2,38338,89,
Southside 1-1000,1950,"Noir, Documentary",Christopher Nolan,8.0,32609,112,1116.6
Spy Hunt,1950,Noir,Quentin Tarantino,7.0,5453,104,146.4
Square Dance Katy,1950,Musical,Wes Anderson,5.2,3292,138,8.1
Stage to Tucson,1950,Western,James Cameron,5.8,3750,145,40.1
Stars In My Crown,1950,Western,Unknown Director,6.7,9689,110,
State Penitentiary,1950,Drama,Martin Scorsese,5.8,168944,95,
Stella,1950,Comedy,Unknown Director,7.3,130018,102,29.4
Storm over Wyoming,1950,Western,Christopher Nolan,6.1,89152,99,
Streets of Ghost Town,1950,Western,Wes Anderson,4.8,46052,92,
Summer Stock,1950,Musical,Wes Anderson,6.0,38599,134,
Sunset Boulevard,1950,"Noir, Comedy",Steven Spielberg,5.4,55914,105,27.4
Sunset in the West,1950,Western,Wes Anderson,5.4,128684,138,
The Sun Sets at Dawn,1950,"Crime, Noir",Paul Thomas Anderson,5.7,67101,135,45.7
The Sundowners,1950,Western,Francis Ford Coppola,6.2,45972,102,
Surrender,1950,"Western, War",Quentin Tarantino,7.1,67923,115,
Swiss Tour,1950,Drama,Alfred Hitchcock,6.3,252,118,184.5
Tarnished,1950,"Drama, Action",Coen Brothers,7.6,47596,121,9.8
Tarzan and the Slave Girl,1950,Adventure,Christopher Nolan,4.8,73588,89,48.5
The Tattooed Stranger,1950,"Noir, Crime, War",Ridley Scott,8.6,253012,84,
Tea for Two,1950,"Musical, Comedy, Romance",Quentin Tarantino,7.0,16828,123,72.5
The Texan Meets Calamity Jane,1950,Western,Francis Ford Coppola,6.0,13382,110,
Texas Dynamo,1950,Western,Quentin Tarantino,4.8,22605,110,374.8
The Third Man,1950,Noir,David Fincher,4.9,15069,85,737.5
This Side of the Law,1950,Noir,Peter Jackson,5.7,40529,100,19.9
Three Came Home,1950,"Drama, War",Francis Ford Coppola,5.7,43939,139,5.6
Three Little Words,1950,Musical,Ridley Scott,4.7,8058,144,
Three Secrets,1950,Drama,Peter Jackson,3.7,17623,94,8.9
A Ticket to Tomahawk,1950,"Western, Musical",Unknown Director,7.4,29951,77,52.0
Timber Fury,1950,Western,Paul Thomas Anderson,7.2,26207,127,
To Please a Lady,1950,"Drama, Romance",Coen Brothers,5.3,28801,112,236.0
The Toast of New Orleans,1950,Musical,Steven Spielberg,7.7,60214,94,15.4
The Torch,1950,Romance,Wes Anderson,7.3,46513,133,
The Tougher They Come,1950,Drama,Martin Scorsese,5.5,4737,141,80.6
Trail of Robin Hood,1950,Western,Wes Anderson,5.1,23153,97,314.2
Trail of the Rustlers,1950,Western,Alfred Hitchcock,8.9,45134,166,50.7
Train to Tombstone,1950,Western,Paul Thomas Anderson,6.9,34318,132,
The Traveling Saleswoman,1950,"Western, Comedy",Martin Scorsese,6.1,2144,112,53.7
Treasure Island,1950,Adventure,Ridley Scott,7.4,76786,66,48.0
Trial Without Jury,1950,"Drama, Mystery",Ridley Scott,4.4,33629,118,
"Trigger, Jr.",1950,Western,Peter Jackson,6.2,45412,112,71.6
Trio,1950,Drama,Steven Spielberg,6.7,62700,125,490.0
Triple Trouble,1950,Comedy,Unknown Director,6.0,5584,119,202.0
Tripoli,1950,"War, Adventure",Paul Thomas Anderson,5.3,17432,92,
Twilight in the Sierras,1950,Western,Steven Spielberg,7.2,19552,81,
Two Flags West,1950,"War, Drama, Western",Denis Villeneuve,6.2,5931,123,
Two Weeks with Love,1950,"Musical, Romance",Wes Anderson,5.3,6047,108,68.2
Tyrant of the Sea,1950,"Historical, War",Ridley Scott,8.9,13023,87,31.9
Under Mexicali Stars,1950,Western,Christopher Nolan,6.1,20870,112,23.6
Under My Skin,1950,"Drama, Sports",Unknown Director,4.9,19832,99,375.4
Undercover Girl,1950,"Noir, Crime",Alfred Hitchcock,6.8,74879,112,34.8
The Underworld Story,1950,"Noir, Crime",Unknown Director,6.8,77457,84,13.7
Union Station,1950,"Noir, Crime, Drama",Coen Brothers,8.3,50466,118,3499.3
